id,director,top_5_cast
409,Anthony Minghella,"['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe', 'Kristin Scott Thomas', 'Naveen Andrews']"
2118,Curtis Hanson,"['Kevin Spacey', 'Guy Pearce', 'Danny DeVito', 'James Cromwell', 'Kim Basinger']"
11459,Mike Mitchell,"['Michael Angarano', 'Kurt Russell', 'Kelly Preston', 'Danielle Panabaker', 'Kevin Heffernan']"
10806,Frank Oz,"['Kevin Kline', 'Joan Cusack', 'Tom Selleck', 'Matt Dillon', 'Debbie Reynolds']"
9348,Roger Donaldson,"['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen', 'Alfred Molina', 'Forest Whitaker']"
377,Wes Craven,"['John Saxon', 'Ronee Blakley', 'Heather Langenkamp', 'Amanda Wyss', 'Jsu Garcia']"
8843,Tarsem Singh,"['Jennifer Lopez', ""Vincent D'Onofrio"", 'Vince Vaughn', 'Marianne Jean-Baptiste', 'Catherine Sutherland']"
9313,Randall Wallace,"['Leonardo DiCaprio', 'Jeremy Irons', 'Gérard Depardieu', 'Gabriel Byrne', 'John Malkovich']"
39486,Randall Wallace,"['Diane Lane', 'John Malkovich', 'Scott Glenn', 'Dylan Walsh', 'Fred Dalton Thompson']"
1273,Kevin Munroe,"['Chris Evans', 'Sarah Michelle Gellar', 'Mako', 'Kevin Smith', 'Patrick Stewart']"
13920,Mike Tollin,"['Cuba Gooding Jr.', 'Ed Harris', 'Alfre Woodard', 'S. Epatha Merkerson', 'Debra Winger']"
50544,Will Gluck,"['Justin Timberlake', 'Mila Kunis', 'Patricia Clarkson', 'Woody Harrelson', 'Nolan Gould']"
325133,Nicholas Stoller,"['Seth Rogen', 'Rose Byrne', 'Zac Efron', 'Chloë Grace Moretz', 'Kiersey Clemons']"
140823,John Lee Hancock,"['Emma Thompson', 'Tom Hanks', 'Paul Giamatti', 'Colin Farrell', 'Ruth Wilson']"
1883,Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Albert Hall', 'Al Freeman, Jr.', 'Delroy Lindo']"
89492,Judd Apatow,"['Paul Rudd', 'Leslie Mann', 'Jason Segel', 'Maude Apatow', 'Megan Fox']"
22949,Walt Becker,"['Robin Williams', 'John Travolta', 'Seth Green', 'Justin Long', 'Matt Dillon']"
12437,Patrick Tatopoulos,"['Bill Nighy', 'Michael Sheen', 'Rhona Mitra', 'Shane Brolly', 'Steven Mackintosh']"
2959,Ken Kwapis,"['Robin Williams', 'Mandy Moore', 'John Krasinski', 'Eric Christian Olsen', 'Christine Taylor']"
9957,Dennis Dugan,"['Jon Heder', 'Rob Schneider', 'David Spade', 'Jon Lovitz', 'Tim Meadows']"
11648,Gary David Goldberg,"['Diane Lane', 'John Cusack', 'Elizabeth Perkins', 'Christopher Plummer', 'Dermot Mulroney']"
9366,Mike Newell,"['Johnny Depp', 'Al Pacino', 'Michael Madsen', 'Bruno Kirby', 'James Russo']"
1576,Paul W.S. Anderson,"['Milla Jovovich', 'Michelle Rodriguez', 'Eric Mabius', 'Ryan McCluskey', 'Oscar Pearce']"
609,Tobe Hooper,"['Craig T. Nelson', 'JoBeth Williams', 'Beatrice Straight', ""Heather O'Rourke"", 'Dominique Dunne']"
5516,Joel Coen,"['Tom Hanks', 'Irma P. Hall', 'Marlon Wayans', 'J.K. Simmons', 'Tzi Ma']"
13051,John Moore,"['Mark Wahlberg', 'Mila Kunis', 'Beau Bridges', 'Ludacris', ""Chris O'Donnell""]"
49530,Andrew Niccol,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Olivia Wilde', 'Alex Pettyfer']"
34806,Alan Poul,"['Jennifer Lopez', ""Alex O'Loughlin"", 'Danneel Ackles', 'Eric Christian Olsen', 'Anthony Anderson']"
49022,Luke Greenfield,"['Kate Hudson', 'Ginnifer Goodwin', 'John Krasinski', 'Colin Egglesfield', 'Ashley Williams']"
11469,Gil Junger,"['Martin Lawrence', 'Marsha Thomason', 'Tom Wilkinson', 'Vincent Regan', 'Daryl Mitchell']"
23479,Michael Ritchie,"['Walter Matthau', ""Tatum O'Neal"", 'Ben Piazza', 'Vic Morrow', 'Erin Blunt']"
11667,Steven E. de Souza,"['Jean-Claude Van Damme', 'Raúl Juliá', 'Ming-Na Wen', 'Damian Chapa', 'Kylie Minogue']"
423,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Maureen Lipman', 'Emilia Fox']"
2447,Catherine Hardwicke,"['Keisha Castle-Hughes', 'Oscar Isaac', 'Hiam Abbass', 'Shaun Toub', 'Ciarán Hinds']"
10066,Jaume Collet-Serra,"['Elisha Cuthbert', 'Paris Hilton', 'Brian Van Holt', 'Jared Padalecki', 'Chad Michael Murray']"
2288,Mike Nichols,"['Julia Roberts', 'Jude Law', 'Natalie Portman', 'Clive Owen', 'Colin Stinton']"
88794,Clint Eastwood,"['Leonardo DiCaprio', 'Josh Hamilton', 'Geoff Pierson', 'Armie Hammer', 'Naomi Watts']"
13515,Alexandre Aja,"['Kiefer Sutherland', 'Paula Patton', 'Amy Smart', 'Cameron Boyce', 'Erica Gluck']"
11979,Michael Rymer,"['Stuart Townsend', 'Aaliyah', 'Marguerite Moreau', 'Vincent Pérez', 'Paul McGann']"
169,Stephen Hopkins,"['Kevin Peter Hall', 'Danny Glover', 'Gary Busey', 'Rubén Blades', 'María Conchita Alonso']"
8090,Gregory Hoblit,"['Diane Lane', 'Billy Burke', 'Colin Hanks', 'Joseph Cross', 'Mary Beth Hurt']"
11622,Hugh Wilson,"['Brendan Fraser', 'Alicia Silverstone', 'Christopher Walken', 'Sissy Spacek', 'Nathan Fillion']"
3604,Mike Hodges,"['Sam J. Jones', 'Melody Anderson', 'Max von Sydow', 'Chaim Topol', 'Ornella Muti']"
9541,Kevin Smith,"['Ben Affleck', 'Raquel Castro', 'Liv Tyler', 'Jennifer Lopez', 'George Carlin']"
94348,Rob Cohen,"['Tyler Perry', 'Rachel Nichols', 'Jean Reno', 'Matthew Fox', 'Giancarlo Esposito']"
8197,Clint Eastwood,"['John Cusack', 'Kevin Spacey', 'Jude Law', 'Alison Eastwood', 'Jack Thompson']"
336004,Scott Mann,"['Jeffrey Dean Morgan', 'Robert De Niro', 'Kate Bosworth', 'Dave Bautista', 'Gina Carano']"
35019,Susanna White,"['Emma Thompson', 'Asa Butterfield', 'Ralph Fiennes', 'Maggie Gyllenhaal', 'Maggie Smith']"
10410,Danny DeVito,"['Jack Nicholson', 'Danny DeVito', 'Armand Assante', 'J. T. Walsh', 'John C. Reilly']"
8836,Chris Carter,"['David Duchovny', 'Gillian Anderson', 'Amanda Peet', 'Billy Connolly', 'Xzibit']"
14442,Tommy O'Haver,"['Anne Hathaway', 'Hugh Dancy', 'Cary Elwes', 'Vivica A. Fox', 'Joanna Lumley']"
321741,Peter Landesman,"['Will Smith', 'Alec Baldwin', 'Albert Brooks', 'Gugu Mbatha-Raw', 'David Morse']"
59965,John Singleton,"['Taylor Lautner', 'Lily Collins', 'Alfred Molina', 'Jason Isaacs', 'Maria Bello']"
14175,Gary Chapman,"['Ewan McGregor', 'Ricky Gervais', 'Tim Curry', 'Jim Broadbent', 'Hugh Laurie']"
11004,Curtis Hanson,"['Michael Douglas', 'Tobey Maguire', 'Frances McDormand', 'Katie Holmes', 'Rip Torn']"
11918,Craig Mazin,"['Drake Bell', 'Sara Paxton', 'Leslie Nielsen', 'Christopher McDonald', 'Jeffrey Tambor']"
98357,Allen Hughes,"['Mark Wahlberg', 'Russell Crowe', 'Catherine Zeta-Jones', 'Jeffrey Wright', 'Barry Pepper']"
10012,Wes Craven,"['Portia de Rossi', 'Christina Ricci', 'Jesse Eisenberg', 'Milo Ventimiglia', 'Judy Greer']"
49526,David Koepp,"['Joseph Gordon-Levitt', 'Michael Shannon', 'Dania Ramirez', 'Jamie Chung', 'Wolé Parks']"
268920,Anne Fletcher,"['Reese Witherspoon', 'Sofía Vergara', 'Michael Mosley', 'John Carroll Lynch', 'Richard T. Jones']"
9093,Shekhar Kapur,"['Heath Ledger', 'Wes Bentley', 'Kate Hudson', 'Djimon Hounsou', 'Michael Sheen']"
119283,Taylor Hackford,"['Jason Statham', 'Jennifer Lopez', 'Nick Nolte', 'Michael Chiklis', 'Clifton Collins Jr']"
11823,Richard Loncraine,"['Kirsten Dunst', 'Paul Bettany', 'Sam Neill', 'James McAvoy', 'Bernard Hill']"
35169,Roger Kumble,"['Brendan Fraser', 'Ken Jeong', 'Brooke Shields', 'Angela Kinsey', 'Rob Riggle']"
118957,Kimble Rendall,"['Sharni Vinson', 'Phoebe Tonkin', 'Julian McMahon', 'Xavier Samuel', 'Cariba Heine']"
849,Peter Yates,"['Ken Marshall', 'Lysette Anthony', 'Francesca Annis', 'Alun Armstrong', 'David Battley']"
4515,Robert Redford,"['Robert Redford', 'Meryl Streep', 'Tom Cruise', 'Michael Peña', 'Andrew Garfield']"
18886,John Milius,"['Danny Glover', 'Willem Dafoe', 'Brad Johnson', 'Rosanna Arquette', 'Tom Sizemore']"
6575,Jake Kasdan,"['John C. Reilly', 'Jenna Fischer', 'Tim Meadows', 'Kristen Wiig', 'Raymond J. Barry']"
6440,Lasse Hallström,"['Kevin Spacey', 'Julianne Moore', 'Cate Blanchett', 'Judi Dench', 'Pete Postlethwaite']"
13496,Les Mayfield,"['Colin Farrell', 'Scott Caan', 'Ali Larter', 'Gabriel Macht', 'Gregory Smith']"
18320,Jean-Marc Vallée,"['Emily Blunt', 'Jim Broadbent', 'Mark Strong', 'Paul Bettany', 'Miranda Richardson']"
22787,Dominic Sena,"['Kate Beckinsale', 'Gabriel Macht', 'Tom Skerritt', 'Columbus Short', 'Shawn Doyle']"
8967,Terrence Malick,"['Brad Pitt', 'Sean Penn', 'Jessica Chastain', 'Hunter McCracken', 'Finnegan Williams']"
37498,Tsui Hark,"['Jean-Claude Van Damme', 'Lela Rochon', 'Paul Sorvino', 'Rob Schneider', 'Mark Houghton']"
144336,David Ayer,"['Arnold Schwarzenegger', 'Sam Worthington', 'Mireille Enos', 'Joe Manganiello', 'Harold Perrineau']"
9616,Brian Helgeland,"['Heath Ledger', 'Shannyn Sossamon', 'Benno Fürmann', 'Mark Addy', 'Peter Weller']"
13056,Lexi Alexander,"['Ray Stevenson', 'Dominic West', 'Julie Benz', 'Colin Salmon', 'Doug Hutchison']"
14113,Peter Hewitt,"['Tim Allen', 'Courteney Cox', 'Chevy Chase', 'Spencer Breslin', 'Kevin Zegers']"
285783,Robert Zemeckis,"['Joseph Gordon-Levitt', 'Ben Kingsley', 'Charlotte Le Bon', 'Ben Schwartz', 'James Badge Dale']"
49478,Ronny Yu,"['Angus Macfadyen', 'Mario Yedidia', 'Marley Shelton', 'Chao Li Chi']"
9726,Ridley Scott,"['Russell Crowe', 'Marion Cotillard', 'Albert Finney', 'Tom Hollander', 'Abbie Cornish']"
20763,Richard Donner,"['Elijah Wood', 'Lorraine Bracco', 'Adam Baldwin', 'John Heard', 'Joseph Mazzello']"
9702,Taylor Hackford,"['Damian Chapa', 'Jesse Borrego', 'Benjamin Bratt', 'Enrique Castillo', 'Victor Rivers']"
9311,Bille August,"['Julia Ormond', 'Gabriel Byrne', 'Richard Harris', 'Jim Broadbent', 'Tom Wilkinson']"
9280,Brian De Palma,"['Rebecca Romijn', 'Antonio Banderas', 'Peter Coyote', 'Rie Rasmussen', 'Gregg Henry']"
26843,Moustapha Akkad,"['Anthony Quinn', 'Rod Steiger', 'Oliver Reed', 'Irene Papas', 'Raf Vallone']"
11876,Jean-Paul Rappeneau,"['Juliette Binoche', 'Olivier Martinez', 'Pierre Arditi', 'François Cluzet', 'Gérard Depardieu']"
22267,Ang Lee,"['Tobey Maguire', 'Skeet Ulrich', 'Jeffrey Wright', 'Jewel', 'Jonathan Rhys Meyers']"
45958,Alejandro González Iñárritu,"['Javier Bardem', 'Maricel Álvarez', 'Hanaa Bouchaib', 'Guillermo Estrella', 'Eduard Fernández']"
1969,Joachim Rønning,"['Penélope Cruz', 'Salma Hayek', 'Dwight Yoakam', 'Steve Zahn', 'Denis Arndt']"
310706,Tony Kaye,"['Laurence Fishburne', 'Karl Urban', 'Brittany Snow', 'Aisha Tyler', ""Beverly D'Angelo""]"
198663,Wes Ball,"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario', 'Aml Ameen', 'Blake Cooper']"
239573,Ken Scott,"['Vince Vaughn', 'Dave Franco', 'James Marsden', 'June Diane Raphael', 'Sienna Miller']"
10436,Martin Scorsese,"['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder', 'Alexis Smith', 'Geraldine Chaplin']"
1381,Darren Aronofsky,"['Hugh Jackman', 'Rachel Weisz', 'Ellen Burstyn', 'Mark Margolis', 'Stephen McHattie']"
2162,Hugh Johnson,"['Cuba Gooding Jr.', 'Skeet Ulrich', 'Peter Firth', 'David Paymer', 'Daniel Hugh Kelly']"
127493,Simon West,"['Nicolas Cage', 'Malin Åkerman', 'Josh Lucas', 'Sami Gayle', 'Danny Huston']"
12429,Hayao Miyazaki,"['Yuria Nara', 'Hiroki Doi', 'George Tokoro', 'Tomoko Yamaguchi', 'Yuki Amami']"
228205,"George Tillman, Jr.","['Scott Eastwood', 'Britt Robertson', 'Lolita Davidovich', 'Melissa Benoist', 'Jack Huston']"
2900,Rand Ravich,"['Johnny Depp', 'Charlize Theron', 'Joe Morton', 'Clea DuVall', 'Nick Cassavetes']"
21311,Hugh Hudson,"['Kim Basinger', 'Vincent Pérez', 'Liam Aiken', 'Daniel Craig', 'Eva Marie Saint']"
77875,Gabriele Muccino,"['Gerard Butler', 'Jessica Biel', 'Uma Thurman', 'Catherine Zeta-Jones', 'Iqbal Theba']"
192136,Justin Chadwick,"['Idris Elba', 'Naomie Harris', 'Tony Kgoroge', 'Riaad Moosa', 'Fana Mokoena']"
18254,Warren Beatty,"['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jack Nicholson', 'Jerzy Kosinski']"
881,Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon', 'Kevin Pollak']"
10877,Andrzej Bartkowiak,"['Steven Seagal', 'DMX', 'Isaiah Washington', 'Anthony Anderson', 'Bill Duke']"
9600,Raja Gosnell,"['Martin Lawrence', 'Nia Long', 'Paul Giamatti', 'Jascha Washington', 'Terrence Howard']"
202575,Ben Stassen,"['Brianne Siddall', 'Joey Camen', 'Elisa Gabrielli', 'Robin Atkin Downes', 'Shanelle Workman']"
71469,Chris Gorak,"['Emile Hirsch', 'Rachael Taylor', 'Olivia Thirlby', 'Joel Kinnaman', 'Max Minghella']"
85446,Scott Speer,"['Kathryn McCormick', 'Ryan Guzman', 'Stephen Boss', 'Megan Boone', 'Jessica Guadix']"
326,David R. Ellis,"['Samuel L. Jackson', 'Julianna Margulies', 'Kenan Thompson', 'Nathan Phillips', 'Rachel Blanchard']"
10685,Joe Charbanic,"['James Spader', 'Keanu Reeves', 'Marisa Tomei', 'Ernie Hudson', 'Chris Ellis']"
7220,Jonathan Hensleigh,"['Thomas Jane', 'John Travolta', 'Will Patton', 'Roy Scheider', 'Laura Harring']"
9763,Danny Cannon,"['Kuno Becker', 'Alessandro Nivola', 'Anna Friel', 'Stephen Dillane', 'Gary Lewis']"
72387,Boaz Yakin,"['Jason Statham', 'Chris Sarandon', 'James Hong', 'Catherine Chan', 'Robert John Burke']"
12596,Mike Newell,"['John Cusack', 'Billy Bob Thornton', 'Cate Blanchett', 'Angelina Jolie', 'Gene Dinovi']"
1892,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels']"
13460,Neil Marshall,"['Rhona Mitra', 'Bob Hoskins', 'Malcolm McDowell', 'Alexander Siddig', ""David O'Hara""]"
8055,Stephen Daldry,"['Kate Winslet', 'Ralph Fiennes', 'David Kross', 'Jeanette Hain', 'Bruno Ganz']"
50647,David Wain,"['Paul Rudd', 'Jennifer Aniston', 'Justin Theroux', 'Malin Åkerman', 'Lauren Ambrose']"
10719,Jon Favreau,"['Will Ferrell', 'James Caan', 'Zooey Deschanel', 'Mary Steenburgen', 'Daniel Tay']"
9294,Jon Turteltaub,"['John Travolta', 'Kyra Sedgwick', 'Forest Whitaker', 'Robert Duvall', 'Jeffrey DeMunn']"
11888,Brian Levant,"['Jim Belushi', 'Cuba Gooding Jr.', 'James Coburn', 'M. Emmet Walsh', 'Sisqó']"
9647,Richard Donner,"['Bill Murray', 'Karen Allen', 'John Forsythe', 'Bobcat Goldthwait', 'Carol Kane']"
9353,Jared Hess,"['Jack Black', 'Ana de la Reguera', 'Héctor Jiménez', 'Darius Rose', 'Moisés Arias']"
55721,Paul Feig,"['Kristen Wiig', 'Rose Byrne', 'Maya Rudolph', 'Wendi McLendon-Covey', 'Ellie Kemper']"
109414,Seth Rogen,"['James Franco', 'Jonah Hill', 'Seth Rogen', 'Jay Baruchel', 'Danny McBride']"
10307,Rupert Wainwright,"['Patricia Arquette', 'Gabriel Byrne', 'Jonathan Pryce', 'Nia Long', 'Thomas Kopache']"
11978,"George Tillman, Jr.","['Robert De Niro', 'Cuba Gooding Jr.', 'Charlize Theron', 'Aunjanue Ellis', 'Hal Holbrook']"
22907,John Luessenhop,"['Chris Brown', 'Hayden Christensen', 'Matt Dillon', 'Michael Ealy', 'Idris Elba']"
87567,Justin Zackham,"['Robert De Niro', 'Diane Keaton', 'Katherine Heigl', 'Amanda Seyfried', 'Topher Grace']"
38322,John Whitesell,"['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Mari Morrow', 'Faizon Love']"
45612,Duncan Jones,"['Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga', 'Russell Peters', 'Michael Arden']"
7305,Frank Marshall,"['Ethan Hawke', 'Vincent Spano', 'Josh Hamilton', 'Bruce Ramsay', 'John Newton']"
3594,Joel Schumacher,"['Jim Carrey', 'Virginia Madsen', 'Logan Lerman', 'Danny Huston', 'Lynn Collins']"
157841,Jean-Pierre Jeunet,"['Kyle Catlett', 'Helena Bonham Carter', 'Judy Davis', 'Callum Keith Rennie', 'Niamh Wilson']"
11519,Steven Spielberg,"['Dan Aykroyd', 'Ned Beatty', 'John Belushi', 'Lorraine Gary', 'Murray Hamilton']"
12920,John Gatins,"['Kurt Russell', 'Dakota Fanning', 'Kris Kristofferson', 'Elisabeth Shue', 'David Morse']"
59,David Cronenberg,"['Viggo Mortensen', 'Maria Bello', 'Heidi Hayes', 'Ashton Holmes', 'William Hurt']"
9335,Louis Leterrier,"['Jason Statham', 'Amber Valletta', 'Kate Nauta', 'Alessandro Gassman', 'François Berléand']"
12106,Sam Raimi,"['Sharon Stone', 'Gene Hackman', 'Russell Crowe', 'Leonardo DiCaprio', 'Tobin Bell']"
11141,Peter Howitt,"['Pierce Brosnan', 'Julianne Moore', 'Michael Sheen', 'Parker Posey', 'Frances Fisher']"
8649,Martin Scorsese,"['Nicolas Cage', 'Patricia Arquette', 'John Goodman', 'Ving Rhames', 'Tom Sizemore']"
31867,Miguel Sapochnik,"['Jude Law', 'Forest Whitaker', 'Alice Braga', 'Liev Schreiber', 'Carice van Houten']"
10253,Shim Hyung-Rae,"['Jason Behr', 'Robert Forster', 'Aimee Garcia', 'Chris Mulkey', 'Elizabeth Peña']"
3587,Norman Jewison,"['Whoopi Goldberg', 'Gérard Depardieu', 'Haley Joel Osment', 'Ute Lemper', 'Andrea Martin']"
124459,Don Scardino,"['Steve Carell', 'Jim Carrey', 'Steve Buscemi', 'Olivia Wilde', 'James Gandolfini']"
24662,Mark Dindal,"['Scott Bakula', 'Jasmine Guy', 'Natalie Cole', 'Ashley Peldon', 'Lindsay Ridgeway']"
32274,Tim Robbins,"['Hank Azaria', 'Rubén Blades', 'Joan Cusack', 'John Cusack', 'Bill Murray']"
182,Steven Soderbergh,"['George Clooney', 'Cate Blanchett', 'Tobey Maguire', 'Tony Curran', 'Leland Orser']"
5494,Tom Reeve,"['James Purefoy', 'Piper Perabo', 'Patrick Swayze', 'Michael Clarke Duncan', 'Bill Treacher']"
28,Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms']"
38073,Nanette Burstein,"['Drew Barrymore', 'Justin Long', 'Charlie Day', 'Jason Sudeikis', 'Christina Applegate']"
2054,Stephen Herek,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy']"
302156,Ariel Vromen,"['Kevin Costner', 'Gary Oldman', 'Tommy Lee Jones', 'Ryan Reynolds', 'Jordi Mollà']"
606,Sydney Pollack,"['Meryl Streep', 'Robert Redford', 'Klaus Maria Brandauer', 'Michael Kitchen', 'Malick Bowens']"
87502,Robert Zemeckis,"['Denzel Washington', 'Don Cheadle', 'Bruce Greenwood', 'Kelly Reilly', 'John Goodman']"
698,Lewis Gilbert,"['Roger Moore', 'Lois Chiles', 'Michael Lonsdale', 'Corinne Cléry', 'Richard Kiel']"
120467,Wes Anderson,"['Ralph Fiennes', 'Tony Revolori', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']"
11313,Scott Hicks,"['Anthony Hopkins', 'Anton Yelchin', 'Hope Davis', 'Mika Boorem', 'David Morse']"
6488,Frank Marshall,"['Jeff Daniels', 'Harley Jane Kozak', 'Garette Ratliff Henson', 'Marlene Katz', 'Julian Sands']"
10559,Gregory Hoblit,"['Dennis Quaid', 'Jim Caviezel', 'Andre Braugher', 'Elizabeth Mitchell', 'Noah Emmerich']"
296099,John Francis Daley,"['Ed Helms', 'Christina Applegate', 'Skyler Gisondo', 'Steele Stebbins', 'Chris Hemsworth']"
8012,Barry Sonnenfeld,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']"
1574,Rob Marshall,"['Catherine Zeta-Jones', 'Renée Zellweger', 'Queen Latifah', 'Richard Gere', 'Christine Baranski']"
9032,Dennis Dugan,"['Adam Sandler', 'Joey Lauren Adams', 'Kristy Swanson', 'Cole Sprouse', 'Jon Stewart']"
2770,J.B. Rogers,"['Jason Biggs', 'Thomas Ian Nicholas', 'Chris Klein', 'Seann William Scott', 'Eddie Kaye Thomas']"
862,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']"
1637,Jan de Bont,"['Keanu Reeves', 'Dennis Hopper', 'Sandra Bullock', 'Joe Morton', 'Jeff Daniels']"
72570,Michael Sucsy,"['Rachel McAdams', 'Channing Tatum', 'Sam Neill', 'Scott Speedman', 'Jessica Lange']"
27569,Tom Vaughan,"['Harrison Ford', 'Brendan Fraser', 'Keri Russell', 'Courtney B. Vance', 'Meredith Droeger']"
10637,Boaz Yakin,"['Denzel Washington', 'Will Patton', 'Ryan Hurst', 'Wood Harris', 'Hayden Panettiere']"
1669,John McTiernan,"['Alec Baldwin', 'Sean Connery', 'Scott Glenn', 'Sam Neill', 'James Earl Jones']"
132363,Lee Daniels,"['Forest Whitaker', 'David Banner', 'Michael Rainey Jr.', 'LaJessie Smith', 'Mariah Carey']"
9472,Rawson Marshall Thurber,"['Vince Vaughn', 'Christine Taylor', 'Ben Stiller', 'Rip Torn', 'Justin Long']"
2907,Barry Sonnenfeld,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci', 'Carel Struycken']"
9273,Steve Oedekerk,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']"
9880,Garry Marshall,"['Anne Hathaway', 'Julie Andrews', 'Heather Matarazzo', 'Robert Schwartzman', 'Héctor Elizondo']"
2925,Hugh Wilson,"['Goldie Hawn', 'Bette Midler', 'Diane Keaton', 'Maggie Smith', 'Dan Hedaya']"
807,David Fincher,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey']"
17654,Neill Blomkamp,"['Sharlto Copley', 'Jason Cope', 'Nathalie Boltt', 'Sylvaine Strike', 'Elizabeth Mkandawie']"
11836,Stephen Hillenburg,"['Tom Kenny', 'Clancy Brown', 'Rodger Bumpass', 'Bill Fagerbakke', 'Carolyn Lawrence']"
322,Clint Eastwood,"['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Laurence Fishburne', 'Marcia Gay Harden']"
70,Clint Eastwood,"['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman', 'Jay Baruchel', 'Mike Colter']"
9535,Harold Ramis,"['Robert De Niro', 'Billy Crystal', 'Lisa Kudrow', 'Chazz Palminteri', 'Joe Viterelli']"
11036,Nick Cassavetes,"['Rachel McAdams', 'Ryan Gosling', 'Gena Rowlands', 'James Garner', 'Sam Shepard']"
6557,Anne Fletcher,"['Katherine Heigl', 'James Marsden', 'Malin Åkerman', 'Judy Greer', 'Edward Burns']"
18126,Peter Chelsom,"['Miley Cyrus', 'Billy Ray Cyrus', 'Emily Osment', 'Jason Earles', 'Taylor Swift']"
16340,Stig Bergqvist,"['E.G. Daily', 'Susan Sarandon', 'John Lithgow', 'Tara Strong', 'Cheryl Chase']"
10333,Barbra Streisand,"['Nick Nolte', 'Barbra Streisand', 'Blythe Danner', 'Kate Nelligan', 'Jeroen Krabbé']"
4476,Edward Zwick,"['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn', 'Julia Ormond', 'Henry Thomas']"
22947,Jason Reitman,"['George Clooney', 'Vera Farmiga', 'Anna Kendrick', 'Jason Bateman', 'Melanie Lynskey']"
2755,Alexander Payne,"['Jack Nicholson', 'Kathy Bates', 'Hope Davis', 'Dermot Mulroney', 'June Squibb']"
82654,Jonathan Levine,"['Nicholas Hoult', 'Teresa Palmer', 'Analeigh Tipton', 'Rob Corddry', 'Dave Franco']"
59967,Rian Johnson,"['Joseph Gordon-Levitt', 'Bruce Willis', 'Emily Blunt', 'Paul Dano', 'Noah Segan']"
16300,Chris Weitz,"['Chris Rock', 'Regina King', 'Chazz Palminteri', 'Eugene Levy', 'Frankie Faison']"
9598,Chris Noonan,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']"
82696,David Frankel,"['Meryl Streep', 'Steve Carell', 'Tommy Lee Jones', 'Jean Smart', 'Marin Ireland']"
9870,Nicholas Stoller,"['Jason Segel', 'Kristen Bell', 'Mila Kunis', 'Russell Brand', 'Bill Hader']"
8292,John Singleton,"['Mark Wahlberg', 'Tyrese Gibson', 'André Benjamin', 'Garrett Hedlund', 'Terrence Howard']"
8780,Michael McCullers,"['Tina Fey', 'Amy Poehler', 'Dax Shepard', 'Sigourney Weaver', 'Greg Kinnear']"
9715,Forest Whitaker,"['Sandra Bullock', 'Harry Connick Jr.', 'Gena Rowlands', 'Mae Whitman', 'Michael Paré']"
10521,Gary Winick,"['Anne Hathaway', 'Kate Hudson', 'Bryan Greenberg', 'Chris Pratt', 'Steve Howey']"
10762,Steven Brill,"['Seth Green', 'Matthew Lillard', 'Dax Shepard', 'Antony Starr', 'Andrew Hampton']"
10096,Gary Winick,"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer', 'Andy Serkis', 'Kathy Baker']"
59436,Woody Allen,"['Owen Wilson', 'Rachel McAdams', 'Kurt Fuller', 'Mimi Kennedy', 'Michael Sheen']"
227783,Peter Lepeniotis,"['Will Arnett', 'Katherine Heigl', 'Brendan Fraser', 'Liam Neeson', 'Stephen Lang']"
4133,Ted Demme,"['Johnny Depp', 'Penélope Cruz', 'Ethan Suplee', 'Ray Liotta', 'Franka Potente']"
10207,Luis Mandoki,"['Kevin Costner', 'Robin Wright', 'Paul Newman', 'John Savage', 'Illeana Douglas']"
